Year,Era,NOC,Country_Name,Is_Host,Athlete_Count,Sports_Participated_Count,Events_Participated_Count,Global_Total_Events,Gold,Total_Medals,Gold_Share,Medal_Share,Lagged_Total_Medals
1980,Formation,NCA,Nicaragua,0,5,3,6,454.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,NCA,Nicaragua,0,5,2,5,492.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,NCA,Nicaragua,0,8,6,9,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,NCA,Nicaragua,0,25,5,9,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,NCA,Nicaragua,0,6,5,6,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,NCA,Nicaragua,0,5,3,6,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,NCA,Nicaragua,0,6,4,7,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,NCA,Nicaragua,0,6,4,6,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,NCA,Nicaragua,0,5,4,5,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,NCA,Nicaragua,0,8,6,8,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,NCA,Nicaragua,0,7,6,7,738.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,OMA,Oman,0,15,3,14,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,OMA,Oman,0,8,3,9,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,OMA,Oman,0,5,2,5,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,OMA,Oman,0,4,4,5,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,OMA,Oman,0,6,3,5,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,OMA,Oman,0,2,2,2,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,OMA,Oman,0,4,3,4,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,OMA,Oman,0,3,2,3,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,OMA,Oman,0,4,2,4,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,OMA,Oman,0,4,4,5,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,OMA,Oman,0,4,3,4,738.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,PLW,Palau,0,5,3,5,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,PLW,Palau,0,4,3,4,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,PLW,Palau,0,5,3,5,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,PLW,Palau,0,5,4,5,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,PLW,Palau,0,5,4,6,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,PLW,Palau,0,3,2,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,PLW,Palau,0,3,2,3,738.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,PLE,Palestine,0,1,1,1,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,PLE,Palestine,0,2,2,2,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,PLE,Palestine,0,3,2,3,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,PLE,Palestine,0,4,2,4,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,PLE,Palestine,0,5,3,5,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,PLE,Palestine,0,6,4,6,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,PLE,Palestine,0,5,4,5,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,PLE,Palestine,0,8,6,8,738.0,0.0,0.0,0.0,0.0,0.0
1976,Formation,PNG,Papua New Guinea,0,6,3,8,444.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,PNG,Papua New Guinea,0,7,2,12,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,PNG,Papua New Guinea,0,11,4,15,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,PNG,Papua New Guinea,0,13,4,16,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,PNG,Papua New Guinea,0,11,3,11,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,PNG,Papua New Guinea,0,5,3,5,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,PNG,Papua New Guinea,0,4,3,6,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,PNG,Papua New Guinea,0,7,5,9,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,PNG,Papua New Guinea,0,8,5,8,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,PNG,Papua New Guinea,0,8,6,8,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,PNG,Papua New Guinea,0,8,5,8,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,PNG,Papua New Guinea,0,7,5,7,738.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,RWA,Rwanda,0,3,1,6,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,RWA,Rwanda,0,6,1,7,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,RWA,Rwanda,0,10,2,8,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,RWA,Rwanda,0,4,1,4,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,RWA,Rwanda,0,5,2,5,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,RWA,Rwanda,0,5,2,5,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,RWA,Rwanda,0,4,2,4,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,RWA,Rwanda,0,7,4,7,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,RWA,Rwanda,0,7,3,7,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,RWA,Rwanda,0,5,3,5,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,RWA,Rwanda,0,7,4,8,738.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,SKN,Saint Kitts and Nevis,0,10,1,5,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,SKN,Saint Kitts and Nevis,0,2,1,4,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,SKN,Saint Kitts and Nevis,0,2,1,2,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,SKN,Saint Kitts and Nevis,0,4,1,5,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,SKN,Saint Kitts and Nevis,0,4,1,3,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,SKN,Saint Kitts and Nevis,0,6,1,4,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,SKN,Saint Kitts and Nevis,0,2,1,2,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,SKN,Saint Kitts and Nevis,0,3,2,3,738.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,VIN,Saint Vincent and the Grenadines,0,6,1,6,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,VIN,Saint Vincent and the Grenadines,0,6,1,5,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,VIN,Saint Vincent and the Grenadines,0,8,1,6,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,VIN,Saint Vincent and the Grenadines,0,4,2,4,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,VIN,Saint Vincent and the Grenadines,0,3,2,3,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,VIN,Saint Vincent and the Grenadines,0,2,1,2,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,VIN,Saint Vincent and the Grenadines,0,3,2,3,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,VIN,Saint Vincent and the Grenadines,0,4,2,4,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,VIN,Saint Vincent and the Grenadines,0,3,2,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,VIN,Saint Vincent and the Grenadines,0,4,2,4,738.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,STP,Sao Tome and Principe,0,2,1,2,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,STP,Sao Tome and Principe,0,2,1,2,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,STP,Sao Tome and Principe,0,2,1,2,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,STP,Sao Tome and Principe,0,3,2,4,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,STP,Sao Tome and Principe,0,2,1,2,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,STP,Sao Tome and Principe,0,3,2,3,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,STP,Sao Tome and Principe,0,3,2,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,STP,Sao Tome and Principe,0,3,3,3,738.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,SEY,Seychelles,0,11,2,15,454.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,SEY,Seychelles,0,9,2,15,492.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,SEY,Seychelles,0,11,4,18,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,SEY,Seychelles,0,9,5,9,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,SEY,Seychelles,0,9,5,9,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,SEY,Seychelles,0,9,7,10,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,SEY,Seychelles,0,9,6,9,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,SEY,Seychelles,0,6,4,6,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,SEY,Seychelles,0,10,6,10,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,SEY,Seychelles,0,5,4,6,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,SEY,Seychelles,0,3,2,3,738.0,0.0,0.0,0.0,0.0,0.0
1968,Formation,SLE,Sierra Leone,0,3,2,4,386.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,SLE,Sierra Leone,0,14,2,16,454.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,SLE,Sierra Leone,0,7,2,6,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,SLE,Sierra Leone,0,12,4,14,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,SLE,Sierra Leone,0,11,1,12,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,SLE,Sierra Leone,0,14,3,10,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,SLE,Sierra Leone,0,3,2,3,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,SLE,Sierra Leone,0,2,1,2,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,SLE,Sierra Leone,0,3,2,3,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,SLE,Sierra Leone,0,2,1,2,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,SLE,Sierra Leone,0,4,2,4,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,SLE,Sierra Leone,0,4,3,4,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,SLE,Sierra Leone,0,4,3,4,738.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,SOL,Solomon Islands,0,3,2,3,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,SOL,Solomon Islands,0,4,4,5,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,SOL,Solomon Islands,0,1,1,1,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,SOL,Solomon Islands,0,4,2,4,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,SOL,Solomon Islands,0,2,1,2,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,SOL,Solomon Islands,0,2,1,2,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,SOL,Solomon Islands,0,3,2,3,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,SOL,Solomon Islands,0,4,3,4,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,SOL,Solomon Islands,0,3,2,3,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,SOL,Solomon Islands,0,3,3,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,SOL,Solomon Islands,0,2,2,2,738.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,SOM,Somalia,0,3,1,4,439.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,SOM,Somalia,0,7,1,6,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,SOM,Somalia,0,5,1,4,528.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,SOM,Somalia,0,4,1,4,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,SOM,Somalia,0,2,1,2,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,SOM,Somalia,0,2,1,2,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,SOM,Somalia,0,2,1,2,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,SOM,Somalia,0,2,1,2,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,SOM,Somalia,0,2,1,2,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,SOM,Somalia,0,2,2,2,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,SOM,Somalia,0,1,1,1,738.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,SSD,South Sudan,0,3,1,3,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,SSD,South Sudan,0,2,1,2,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,SSD,South Sudan,0,14,2,3,738.0,0.0,0.0,0.0,0.0,0.0
1972,Formation,SWZ,Swaziland,0,2,2,4,439.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,SWZ,Swaziland,0,8,4,11,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,SWZ,Swaziland,0,11,4,11,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,SWZ,Swaziland,0,6,2,10,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,SWZ,Swaziland,0,6,3,5,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,SWZ,Swaziland,0,6,4,6,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,SWZ,Swaziland,0,3,2,3,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,SWZ,Swaziland,0,4,2,4,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,SWZ,Swaziland,0,3,2,3,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,SWZ,Swaziland,0,2,1,2,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,SWZ,Swaziland,0,4,3,4,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,SWZ,Swaziland,0,3,2,3,738.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,TLS,Timor Leste,0,2,1,2,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,TLS,Timor Leste,0,1,1,1,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,TLS,Timor Leste,0,2,1,2,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,TLS,Timor Leste,0,3,2,3,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,TLS,Timor Leste,0,3,2,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,TLS,Timor Leste,0,4,3,4,738.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,TUV,Tuvalu,0,3,2,3,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,TUV,Tuvalu,0,3,2,3,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,TUV,Tuvalu,0,1,1,1,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,TUV,Tuvalu,0,2,1,2,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,TUV,Tuvalu,0,2,1,2,738.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,VAN,Vanuatu,0,4,2,6,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,VAN,Vanuatu,0,6,1,8,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,VAN,Vanuatu,0,4,1,4,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,VAN,Vanuatu,0,3,2,3,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,VAN,Vanuatu,0,2,1,2,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,VAN,Vanuatu,0,3,2,3,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,VAN,Vanuatu,0,5,3,5,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,VAN,Vanuatu,0,4,4,4,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,VAN,Vanuatu,0,3,3,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,VAN,Vanuatu,0,6,5,6,738.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,YEM,Yemen,0,8,2,8,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,YEM,Yemen,0,4,2,4,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,YEM,Yemen,0,2,1,2,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,YEM,Yemen,0,3,3,3,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,YEM,Yemen,0,5,4,8,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,YEM,Yemen,0,4,3,4,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,YEM,Yemen,0,3,3,3,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,YEM,Yemen,0,5,4,6,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,YEM,Yemen,0,4,4,4,738.0,0.0,0.0,0.0,0.0,0.0
